,year,state,state_abbr,county,commodity,AREA HARVESTED grain,AREA HARVESTED silage,AREA PLANTED,PRODUCTION grain,PRODUCTION silage,YIELD grain,YIELD silage
86,2021,DELAWARE,DE,NEW CASTLE,CORN,17100.0,,17100.0,3068000.0,,179.4,
87,2021,DELAWARE,DE,SUSSEX,CORN,96000.0,,98400.0,17500000.0,,182.3,
88,2021,GEORGIA,GA,ATKINSON,CORN,3200.0,,3200.0,505000.0,,157.8,
89,2021,GEORGIA,GA,BAKER,CORN,10800.0,,11600.0,2182000.0,,202.0,
90,2021,GEORGIA,GA,BANKS,CORN,290.0,,300.0,43800.0,,151.0,
91,2021,GEORGIA,GA,BARTOW,CORN,1970.0,,2100.0,357000.0,,181.2,
92,2021,GEORGIA,GA,BEN HILL,CORN,3750.0,,3800.0,859000.0,,229.1,
93,2021,GEORGIA,GA,BERRIEN,CORN,8370.0,,8400.0,1415000.0,,169.1,
94,2021,GEORGIA,GA,BLECKLEY,CORN,4960.0,,5100.0,975000.0,,196.6,
95,2021,GEORGIA,GA,BRANTLEY,CORN,940.0,,1000.0,105000.0,,111.7,
96,2021,GEORGIA,GA,BULLOCH,CORN,3700.0,,4000.0,588000.0,,158.9,
97,2021,GEORGIA,GA,BURKE,CORN,21600.0,,22100.0,4396000.0,,203.5,
98,2021,GEORGIA,GA,CALHOUN,CORN,10200.0,,10900.0,2301000.0,,225.6,
99,2021,GEORGIA,GA,CANDLER,CORN,650.0,,900.0,54600.0,,84.0,
100,2021,GEORGIA,GA,CARROLL,CORN,280.0,,300.0,40700.0,,145.4,
101,2021,GEORGIA,GA,CHATTOOGA,CORN,1340.0,,1500.0,226000.0,,168.7,
102,2021,GEORGIA,GA,COFFEE,CORN,7120.0,,7600.0,1222000.0,,171.6,
103,2021,GEORGIA,GA,COLQUITT,CORN,5690.0,,6100.0,1165000.0,,204.7,
104,2021,GEORGIA,GA,DECATUR,CORN,12000.0,,13000.0,2358000.0,,196.5,
105,2021,GEORGIA,GA,DODGE,CORN,2530.0,,2700.0,514000.0,,203.2,
106,2021,GEORGIA,GA,EARLY,CORN,12200.0,,12800.0,2447000.0,,200.6,
107,2021,GEORGIA,GA,EMANUEL,CORN,3280.0,,3500.0,458000.0,,139.6,
108,2021,GEORGIA,GA,FRANKLIN,CORN,470.0,,500.0,71000.0,,151.1,
109,2021,GEORGIA,GA,GORDON,CORN,3540.0,,3700.0,533000.0,,150.6,
110,2021,GEORGIA,GA,HART,CORN,2530.0,,2700.0,483000.0,,190.9,
111,2021,GEORGIA,GA,IRWIN,CORN,10800.0,,11300.0,1997000.0,,184.9,
112,2021,GEORGIA,GA,JEFFERSON,CORN,14900.0,,15200.0,3048000.0,,204.6,
113,2021,GEORGIA,GA,JOHNSON,CORN,2150.0,,2300.0,350000.0,,162.8,
114,2021,GEORGIA,GA,LAURENS,CORN,5330.0,,5700.0,896000.0,,168.1,
115,2021,GEORGIA,GA,LEE,CORN,13600.0,,14500.0,2679000.0,,197.0,
